timestamp,devID,soil,rain,temp,humi,geo,lat,lng,iso_score,iso_risk,lstm_score,lstm_risk,confidence,rf_risk,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
2025-11-01 06:42:51.995,108,1.604698181,0.0,34.29999924,61.29999924,1.0,8.873380661,99.76480865,0.03492514438,0,0.03314286098,0,0.9999993443,,107.0,33.29999924,0.0,30.5,74.55000305,15.83806849,8.866661072,99.75454712,0.1127851377,0.0,0.09268046916,0.0,0.9949993491,1.0
2025-11-01 06:43:52.076,108,1.604698181,0.0,34.5,60.70000076,1.0,8.872817039,99.76206207,0.03024531488,0,0.03392129391,0,0.9999993443,,106.0,37.29999924,0.0,34.20000076,64.59999847,0.253991425,8.886652946,99.7845459,0.08773076079,0.0,0.5226191282,0.0,0.9999993443,0.0
2025-11-01 06:44:52.145,108,1.604698181,0.0,34.70000076,59.79999924,1.0,8.872817039,99.76206207,0.02393716617,0,0.03447713703,0,0.9999993443,,108.0,42.29999924,0.0,30.39999962,79.5,22.39388084,8.866808891,99.75444031,0.08977024994,0.0,0.03102841415,0.0,0.9956243634,1.0
2025-11-01 06:45:52.223,108,1.604698181,0.0,34.8333346,62.59999975,1.0,8.872817039,99.76206207,0.02885699903,0,0.03397972137,0,0.9999993443,0.0,,,,,,,,,,,,,,
2025-11-01 06:46:52.303,108,1.604698181,0.0,34.90000153,62.80000051,1.0,8.872817039,99.76206207,0.02629873238,0,0.03375703841,0,0.9999993443,0.0,,,,,,,,,,,,,,
2025-11-01 09:34:04.770,108,1.604698181,0.0,28.0,87.5,0.0,8.875333786,99.77458191,0.03008140035,0,0.0305165872,0,0.9679160118,0.0,,,,,,,,,,,,,,
2025-11-01 09:34:23.586,108,1.604698181,0.0,28.0,87.5,0.0,8.875333786,99.77458191,0.03008140035,0,0.0305165872,0,0.9679160118,0.0,,,,,,,,,,,,,,
2025-11-01 09:34:49.084,108,1.604698181,0.0,28.0,87.5,0.0,8.875333786,99.77458191,0.03008140035,0,0.0305165872,0,0.9679160118,0.0,,,,,,,,,,,,,,
2025-11-01 09:35:03.648,108,1.604698181,0.0,28.10000038,87.5,0.0,8.875333786,99.77458191,0.03333374015,0,0.0305165872,0,0.9679160118,0.0,,,,,,,,,,,,,,
2025-11-01 11:06:14.026,108,40.90000153,0.0,26.70000076,94.0,13.5332222,8.866871834,99.75444794,0.1083523118,0,0.1306371838,0,0.9835112691,1.0,,,,,,,,,,,,,,
2025-11-01 11:06:54.164,108,40.90000153,0.0,26.70000076,94.0,13.5332222,8.866871834,99.75444794,0.1083523118,0,0.1303705722,0,0.9835112691,1.0,,,,,,,,,,,,,,
2025-11-01 11:08:34.444,108,40.90000153,0.0,26.70000076,93.09999847,24.82199097,8.866833687,99.75442505,0.0308609978,0,0.1480851769,0,0.9733327031,1.0,,,,,,,,,,,,,,
2025-11-01 11:09:54.651,108,41.0,0.0,26.60000038,93.30000305,7.553909779,8.866833687,99.75442505,0.1181021637,0,0.1429585069,0,0.9691640735,1.0,,,,,,,,,,,,,,
2025-11-01 11:14:55.472,108,41.0,0.0,26.5,94.30000305,0.2779701352,8.866831779,99.75443268,0.08520585264,0,0.1408801228,0,0.9911660552,0.0,,,,,,,,,,,,,,
2025-11-01 11:17:55.982,108,41.09999847,0.0,26.29999924,94.30000305,2.97973752,8.866831779,99.75443268,0.1207567801,0,0.1829479933,0,0.9926660061,0.0,,,,,,,,,,,,,,
2025-11-01 11:18:56.143,108,41.09999847,0.0,26.29999924,94.19999695,10.1106329,8.866831779,99.75443268,0.1116201341,0,0.1736657321,0,0.9844487906,1.0,,,,,,,,,,,,,,
2025-11-01 11:19:16.179,108,41.09999847,0.0,26.29999924,94.30000305,11.52801418,8.866831779,99.75443268,0.1085626534,0,0.1736657321,0,0.9860112667,1.0,,,,,,,,,,,,,,
2025-11-01 11:19:56.303,108,41.09999847,0.0,26.29999924,94.30000305,11.52801418,8.866831779,99.75443268,0.1085626534,0,0.1716536433,0,0.9860112667,1.0,,,,,,,,,,,,,,
2025-11-01 11:20:56.483,108,41.09999847,0.0,26.29999924,94.40000153,24.15295219,8.866831779,99.75443268,0.02843383146,0,0.1757834852,0,0.9783326983,1.0,,,,,,,,,,,,,,
2025-11-01 11:21:16.510,108,41.09999847,0.0,26.29999924,94.5,23.00087357,8.866831779,99.75443268,0.02918680614,0,0.1757834852,0,0.9783326983,1.0,,,,,,,,,,,,,,
2025-11-01 11:22:39.947,108,41.09999847,0.0,26.29999924,94.54999924,11.93333757,8.866831779,99.75443268,0.1073899306,0,0.1679617912,0,0.9860112667,1.0,,,,,,,,,,,,,,
2025-11-01 11:27:51.155,107,29.60000038,0.0,27.79999924,89.59999847,5.685560226,8.866642952,99.75457001,0.1223086949,0,0.1236817688,0,0.7739797831,0.0,,,,,,,,,,,,,,
2025-11-01 11:28:36.213,107,29.60000038,0.0,27.64999962,89.20000076,12.54846287,8.866642952,99.75457001,0.1069229715,0,0.1348032802,0,0.6033668518,0.0,,,,,,,,,,,,,,
2025-11-01 11:30:06.291,107,29.60000038,0.0,27.29999924,89.40000153,6.757516384,8.866642952,99.75457001,0.1153692651,0,0.154083699,0,0.6234263778,0.0,,,,,,,,,,,,,,
