timestamp,devID,device,temp,humi,soil,rain,geo,"ละติจูด","ลองจิจูด","ระดับความเสี่ยง",iso_risk,lstm_risk,"RF Risk"
"2025-11-18 23:48:16","107","Node 107","23.50","97.90","41.35","0.00","0.72","8.866671","99.754539","ต่ำ","0","0","0"
"2025-11-18 23:48:04","106","Node 106","23.50","98.90","49.30","0.00","0.63","8.886660","99.784576","ต่ำ","0","0","0"
"2025-11-18 23:47:54","109","Node 109","23.25","98.80","43.05","0.00","0.45","8.868591","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:47:51","108","Node 108","23.40","98.50","48.80","0.00","0.41","8.866833","99.754448","ต่ำ","0","0","0"
"2025-11-18 23:47:31","107","Node 107","23.50","97.90","41.30","0.00","0.49","8.866671","99.754539","ต่ำ","0","0","0"
"2025-11-18 23:47:19","106","Node 106","23.50","98.90","49.30","0.00","0.47","8.886660","99.784576","ต่ำ","0","0","0"
"2025-11-18 23:47:09","109","Node 109","23.20","98.80","43.10","0.00","0.46","8.868591","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:47:06","108","Node 108","23.40","98.50","48.80","0.00","0.41","8.866833","99.754448","ต่ำ","0","0","0"
"2025-11-18 23:46:46","107","Node 107","23.50","97.90","41.30","0.00","0.49","8.866671","99.754539","ต่ำ","0","0","0"
"2025-11-18 23:46:33","106","Node 106","23.50","98.90","49.30","0.00","0.47","8.886660","99.784576","ต่ำ","0","0","0"
"2025-11-18 23:46:24","109","Node 109","23.20","98.80","43.10","0.00","3.74","8.868588","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:46:21","108","Node 108","23.40","98.50","48.80","0.00","3.98","8.866833","99.754448","ต่ำ","0","0","0"
"2025-11-18 23:45:48","106","Node 106","23.50","98.90","49.30","0.00","7.76","8.886660","99.784576","ต่ำ","0","0","1"
"2025-11-18 23:45:39","109","Node 109","23.20","98.80","43.10","0.00","3.74","8.868588","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:45:36","108","Node 108","23.40","98.50","48.80","0.00","0.51","8.866835","99.754448","ต่ำ","0","0","0"
"2025-11-18 23:45:16","107","Node 107","23.50","97.90","41.40","0.00","14.03","8.866677","99.754539","ต่ำ","0","0","1"
"2025-11-18 23:45:03","106","Node 106","23.50","98.90","49.30","0.00","15.28","8.886660","99.784576","ต่ำ","0","0","1"
"2025-11-18 23:44:54","109","Node 109","23.30","98.80","43.00","0.00","2.05","8.868588","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:44:51","108","Node 108","23.40","98.40","48.80","0.00","0.65","8.866835","99.754448","ต่ำ","0","0","0"
"2025-11-18 23:44:18","106","Node 106","23.40","98.90","49.30","0.00","23.38","8.886660","99.784576","ต่ำ","0","0","1"
"2025-11-18 23:44:08","109","Node 109","23.30","98.80","43.00","0.00","0.34","8.868588","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:43:46","107","Node 107","23.50","97.90","41.40","0.00","5.05","8.866677","99.754539","ต่ำ","0","0","1"
"2025-11-18 23:43:23","109","Node 109","23.20","98.80","43.10","0.00","0.52","8.868588","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:43:21","108","Node 108","23.40","98.50","48.80","0.00","5.43","8.866836","99.754448","ต่ำ","0","0","1"
"2025-11-18 23:42:48","106","Node 106","23.40","98.90","49.30","0.00","7.58","8.886658","99.784584","ต่ำ","0","0","1"
"2025-11-18 23:42:39","109","Node 109","23.20","98.80","43.10","0.00","0.52","8.868588","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:42:36","108","Node 108","23.40","98.50","48.80","0.00","0.39","8.866836","99.754448","ต่ำ","0","0","0"
"2025-11-18 23:42:03","106","Node 106","23.40","98.90","49.30","0.00","0.32","8.886656","99.784576","ต่ำ","0","0","0"
"2025-11-18 23:41:53","109","Node 109","23.20","98.80","43.10","0.00","3.74","8.868588","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:41:51","108","Node 108","23.40","98.50","48.60","0.00","7.53","8.866836","99.754448","ต่ำ","0","0","1"
"2025-11-18 23:41:31","107","Node 107","23.50","97.90","41.40","0.00","0.56","8.866681","99.754539","ต่ำ","0","0","0"
"2025-11-18 23:41:18","106","Node 106","23.40","98.90","49.30","0.00","0.26","8.886656","99.784576","ต่ำ","0","0","0"
"2025-11-18 23:40:32","107","Node 107","23.50","97.90","41.40","0.00","0.56","8.866681","99.754539","ต่ำ","0","0","0"
"2025-11-18 23:39:48","106","Node 106","23.50","98.90","49.30","0.00","0.87","8.886656","99.784576","ต่ำ","0","0","0"
"2025-11-18 23:39:38","109","Node 109","23.20","98.80","43.10","0.00","3.76","8.868588","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:39:03","106","Node 106","23.50","98.90","49.30","0.00","1.28","8.886656","99.784576","ต่ำ","0","0","0"
"2025-11-18 23:38:31","107","Node 107","23.50","97.90","41.40","0.00","27.81","8.866684","99.754532","ต่ำ","0","0","1"
"2025-11-18 23:38:18","106","Node 106","23.50","98.90","49.30","0.00","0.37","8.886656","99.784576","ต่ำ","0","0","0"
"2025-11-18 23:38:08","109","Node 109","23.20","98.80","43.10","0.00","0.47","8.868584","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:38:06","108","Node 108","23.40","98.50","48.80","0.00","0.44","8.866836","99.754448","ต่ำ","0","0","0"
"2025-11-18 23:37:46","107","Node 107","23.50","97.90","41.40","0.00","27.81","8.866684","99.754532","ต่ำ","0","0","1"
"2025-11-18 23:37:33","106","Node 106","23.50","98.90","49.30","0.00","0.37","8.886656","99.784576","ต่ำ","0","0","0"
"2025-11-18 23:37:23","109","Node 109","23.20","98.80","43.10","0.00","0.63","8.868584","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:37:21","108","Node 108","23.40","98.40","48.80","0.00","11.00","8.866830","99.754456","ต่ำ","0","0","1"
"2025-11-18 23:36:48","106","Node 106","23.50","98.90","49.30","0.14","0.61","8.886656","99.784576","ต่ำ","0","0","0"
"2025-11-18 23:36:38","109","Node 109","23.20","98.80","43.10","0.00","0.63","8.868584","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:36:36","108","Node 108","23.40","98.40","48.80","0.00","10.60","8.866830","99.754456","ต่ำ","0","0","1"
"2025-11-18 23:36:15","107","Node 107","23.50","97.90","41.35","0.28","11.72","8.866684","99.754532","ต่ำ","0","0","1"
"2025-11-18 23:36:03","106","Node 106","23.50","98.90","49.30","0.28","0.52","8.886656","99.784576","ต่ำ","0","0","0"
"2025-11-18 23:35:51","108","Node 108","23.45","98.50","48.80","0.00","9.84","8.866830","99.754456","ต่ำ","0","0","1"
"2025-11-18 23:35:18","106","Node 106","23.50","98.90","49.30","0.28","17.30","8.886654","99.784569","ต่ำ","0","0","1"
"2025-11-18 23:35:08","109","Node 109","23.20","98.80","43.10","0.00","0.32","8.868584","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:34:45","107","Node 107","23.50","97.90","41.40","0.28","23.05","8.866684","99.754532","ปานกลาง","1","0","1"
"2025-11-18 23:34:33","106","Node 106","23.50","98.90","49.30","0.28","17.30","8.886654","99.784569","ต่ำ","0","0","1"
"2025-11-18 23:34:00","107","Node 107","23.50","97.90","41.40","0.28","0.62","8.866673","99.754539","ต่ำ","0","0","0"
"2025-11-18 23:33:48","106","Node 106","23.50","98.90","49.30","0.28","0.34","8.886654","99.784569","ต่ำ","0","0","0"
"2025-11-18 23:33:36","108","Node 108","23.50","98.50","48.80","0.00","12.27","8.866832","99.754456","ต่ำ","0","0","1"
"2025-11-18 23:33:03","106","Node 106","23.50","98.90","49.30","0.28","0.28","8.886654","99.784569","ต่ำ","0","0","0"
"2025-11-18 23:32:52","109","Node 109","23.15","98.70","43.10","0.00","0.36","8.868584","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:32:51","108","Node 108","23.50","98.50","48.80","0.00","0.55","8.866832","99.754456","ต่ำ","0","0","0"
"2025-11-18 23:32:30","107","Node 107","23.50","97.90","41.40","0.28","0.61","8.866673","99.754539","ต่ำ","0","0","0"
"2025-11-18 23:32:17","106","Node 106","23.50","98.90","49.30","0.28","0.31","8.886654","99.784569","ต่ำ","0","0","0"
"2025-11-18 23:32:05","108","Node 108","23.50","98.50","48.80","0.00","0.55","8.866832","99.754456","ต่ำ","0","0","0"
